title;date;genre;mainChar
The Shawshank Redemption;1995-02-17;Drama;Tim Robbins
The Godfather;1972-08-24;Drama;Marlon Brando
The Godfather: Part II;1975-05-15;Drama;Al Pacino
The Dark Knight;2008-07-24;Action;Christian Bale
12 Angry Men;1957-04-10;Drama;Henry Fonda
Schindler's List;1994-02-18;Drama;Liam Neeson
Pulp Fiction;1994-10-21;Action;John Travolta
The Lord of the Rings: The Return of the King;2003-12-17;Adventure;Elijah Wood
The Good, the Bad and the Ugly;1968-08-30;Western;Clint Eastwood
Fight Club;1999-11-12;Drama;Brad Pitt
The Lord of the Rings: The Fellowship of the Ring;2001-12-19;Adventure;Elijah Wood
Star Wars: Episode V - The Empire Strikes Back;1980-05-21;Fantasy;Mark Hamill
Forrest Gump;1994-10-07;Comedy;Tom Hanks
Inception;2010-07-16;Action;Leonardo DiCaprio
The Lord of the Rings: The Two Towers;2002-12-18;Adventure;Elijah Wood
One Flew Over the Cuckoo's Nest;1976-03-25;Drama;Jack Nicholson
Goodfellas;1990-10-26;Drama;Robert De Niro
The Matrix;1999-06-11;Action;Keanu Reeves
Seven Samurai;1954-04-26;Action;Toshiro Mifune
Star Wars: Episode IV - A New Hope;1978-01-29;Fantasy;Mark Hamill
